function,dim,method,trials,mean_best_value,var_best_value,mean_grad_norm,var_grad_norm,mean_iterations,var_iterations,mean_func_calls,var_func_calls,mean_grad_calls,var_grad_calls
desmos2d,2,bfgs,3,5.300234165959e2,5.509073930961e5,5.188106193684e9,5.088281575197e19,5000.000000,0.000000,232424.333333,204187904.222222,5001.000000,0.000000
desmos2d,2,gd,3,7.299444906525e2,1.065607302431e6,5.394171401277e2,5.777337448537e5,1692.333333,5471033.555556,1693.333333,5471033.555556,1693.000000,5468828.666667
desmos2d,2,lbfgs,3,2.269570373740e0,3.898118031102e0,3.347722873099e8,1.299801600375e16,5000.000000,0.000000,279149.333333,265415067.555556,5001.000000,0.000000
desmos2d,2,nelder_mead,3,4.915750583532e2,4.213392359358e5,4.573991209171e9,3.588916516927e19,5000.000000,0.000000,19441.666667,35939.555556,0.000000,0.000000
desmos2d,2,newton,3,1.292435516870e1,4.400167399999e1,7.796468764098e1,3.482820950823e2,3345.000000,5478050.000000,3346.000000,5478050.000000,3345.333333,5475843.555556
desmos2d,2,nlcg_fr,3,5.204641477913e0,3.216756920395e1,3.185409645258e8,6.883597963448e16,5000.000000,0.000000,324291.333333,43844.222222,5001.000000,0.000000
desmos8,8,bfgs,3,1.352531556435e3,3.543199114659e6,2.564244359752e9,9.798598858160e18,5000.000000,0.000000,253877.666667,2463839153.555556,5001.000000,0.000000
desmos8,8,gd,3,2.523480279626e5,1.273590120954e11,7.309419244953e4,1.068437881254e10,1692.000000,5472248.666667,1693.000000,5472248.666667,1692.666667,5470043.555556
desmos8,8,lbfgs,3,8.671430754856e0,6.839694414536e1,6.282531391126e8,8.189516190787e16,5000.000000,0.000000,272041.666667,87254294.888889,5001.000000,0.000000
desmos8,8,nelder_mead,3,8.153299201744e3,6.215967842545e7,1.259152116013e10,1.211383852143e20,5000.000000,0.000000,11407.000000,22001642.000000,0.000000,0.000000
desmos8,8,newton,3,6.968248077176e1,1.040087966785e3,1.618315511569e2,1.210798568033e3,1681.333333,5506886.888889,1682.333333,5506886.888889,1682.000000,5504674.666667
desmos8,8,nlcg_fr,3,9.837328511615e0,2.628097204756e1,3.927498431015e8,7.080044672236e16,5000.000000,0.000000,324144.666667,126198.222222,5001.000000,0.000000
rastrigin2,2,bfgs,3,0.000000000000e0,0.000000000000e0,8.711549612168e-12,2.196922369610e-23,1.000000,0.000000,3.000000,0.000000,2.000000,0.000000
