function,dim,start_id,method,best_value,grad_norm,iterations,func_calls,grad_calls
rosen2,2,1,bfgs,4.250986085227e-21,1.092830623008e-9,35,55,36
rosen2,2,1,lbfgs,1.168020149815e-19,9.628542194343e-9,672,699,673
rosen2,2,1,nlcg_fr,5.384409931651e-18,9.984077689352e-9,883,7189,884
rosen2,2,1,gd,3.760923122118e-3,5.761060440456e-2,5000,5001,5000
rosen2,2,1,newton,2.620329686589e-26,3.688189629168e-13,9,10,10
rosen2,2,1,nelder_mead,0.000000000000e0,0.000000000000e0,5000,19599,0
rosen2,2,2,bfgs,4.999803811365e-22,6.156107460480e-10,26,48,27
rosen2,2,2,lbfgs,6.256131366026e-23,3.477482049640e-10,27,41,28
rosen2,2,2,nlcg_fr,3.882796971727e-18,9.567309262393e-9,770,6176,771
rosen2,2,2,gd,5.160754918184e-3,6.807755056123e-2,5000,5001,5000
rosen2,2,2,newton,1.544645882921e-22,3.127355271718e-11,7,8,8
rosen2,2,2,nelder_mead,0.000000000000e0,0.000000000000e0,5000,19581,0
rosen2,2,3,bfgs,5.489664336774e-20,8.176411181375e-9,19,31,20
rosen2,2,3,lbfgs,1.598638663220e-18,2.431919453195e-9,23,34,24
rosen2,2,3,nlcg_fr,4.642516018148e-18,8.052769805174e-9,1074,9025,1075
rosen2,2,3,gd,1.783723377891e-2,1.077332909875e-1,5000,5001,5000
rosen2,2,3,newton,1.253567228788e-24,2.784781563815e-12,6,7,7
rosen2,2,3,nelder_mead,0.000000000000e0,0.000000000000e0,5000,19712,0
rosen10,10,1,bfgs,5.261912487530e-20,9.498988046168e-9,87,177,88
rosen10,10,1,lbfgs,3.801427043907e-20,7.663784120330e-9,77,101,78
rosen10,10,1,nlcg_fr,1.080040515110e-17,8.061996865161e-9,673,7069,674
rosen10,10,1,gd,7.206677403578e-3,9.036310368798e-2,5000,5001,5000
rosen10,10,1,newton,9.769612296550e-22,7.446573355260e-11,35,36,36
